,n_windows,score_BigBonus,score_BigLoss,score_MinorBonus,score_MinorLoss,胜率,收益率
0,5,-2,-5,2,-5,0.527901785714,0.590610649943
1,7,-2,-5,2,-5,0.526785714286,0.783950690972
2,5,-2,-5,3,-5,0.532366071429,0.796119261968
3,7,-2,-5,3,-5,0.521205357143,1.01722473624
4,5,-2,-5,4,-5,0.530133928571,0.965390376198
5,7,-2,-5,4,-5,0.520089285714,1.21468594903
6,15,-2,-5,4,-5,0.520089285714,0.974548156405
7,5,-2,-5,5,-5,0.525669642857,1.11506913318
8,7,-2,-5,5,-5,0.520089285714,1.36195893063
9,13,-2,-5,5,-5,0.525669642857,0.867684267729
10,19,-2,-5,5,-5,0.520089285714,0.634955517289
11,5,-2,-5,2,-4,0.527901785714,0.575420257511
12,7,-2,-5,2,-4,0.526785714286,0.746777396135
13,5,-2,-5,3,-4,0.530133928571,0.769416517506
14,7,-2,-5,3,-4,0.521205357143,0.986208738033
15,5,-2,-5,4,-4,0.530133928571,0.941383472394
16,7,-2,-5,4,-4,0.520089285714,1.18866001953
17,15,-2,-5,4,-4,0.521205357143,0.838956553196
18,5,-2,-5,5,-4,0.5234375,1.0598602506
19,7,-2,-5,5,-4,0.522321428571,1.33522502278
20,13,-2,-5,5,-4,0.521205357143,0.674036045055
21,15,-2,-5,5,-4,0.520089285714,0.464737105976
22,5,-2,-5,2,-3,0.525669642857,0.545832996338
23,7,-2,-5,2,-3,0.521205357143,0.70996706658
24,5,-2,-5,3,-3,0.530133928571,0.745690672698
25,7,-2,-5,3,-3,0.521205357143,0.961252698902
26,5,-2,-5,4,-3,0.529017857143,0.886464484735
27,7,-2,-5,4,-3,0.5234375,1.16305609642
28,5,-2,-5,5,-3,0.5234375,0.99453729911
29,7,-2,-5,5,-3,0.522321428571,1.2899010333
30,13,-2,-5,5,-3,0.521205357143,0.492262899989
31,5,-2,-5,2,-2,0.525669642857,0.52238216604
32,5,-2,-5,3,-2,0.53125,0.691055147977
33,7,-2,-5,3,-2,0.521205357143,0.936735704876
34,5,-2,-5,4,-2,0.525669642857,0.811685443779
35,7,-2,-5,4,-2,0.5234375,1.10089390454
36,7,-2,-5,5,-2,0.5234375,1.20737461849
37,9,-2,-5,5,-2,0.521205357143,0.992508552485
38,11,-2,-5,5,-2,0.522321428571,0.204369393175
39,13,-2,-5,5,-2,0.522321428571,0.315310389183
40,5,-2,-5,2,-1,0.5234375,0.458352891584
41,5,-2,-5,3,-1,0.529017857143,0.611736361561
42,7,-2,-5,3,-1,0.524553571429,0.857566760244
43,7,-2,-5,4,-1,0.522321428571,1.02266484725
44,9,-2,-5,4,-1,0.5234375,0.907280858447
45,11,-2,-5,4,-1,0.521205357143,0.297216759543
46,13,-2,-5,4,-1,0.520089285714,0.450471705388
47,9,-2,-5,5,-1,0.521205357143,0.862003970052
48,11,-2,-5,5,-1,0.524553571429,0.037041386177
49,13,-2,-5,5,-1,0.525669642857,0.151837653454
50,5,-2,-5,2,0,0.525669642857,0.381124440843
51,7,-2,-5,2,0,0.520089285714,0.577932747565
52,7,-2,-5,3,0,0.520089285714,0.794010477594
53,9,-2,-5,4,0,0.521205357143,0.786644929781
54,11,-2,-5,4,0,0.521205357143,0.132365985716
55,5,-2,-5,4,1,0.520089285714,0.601861625726
56,5,-1,-5,2,-5,0.527901785714,0.583864111887
57,7,-1,-5,2,-5,0.526785714286,0.780673915902
58,5,-1,-5,3,-5,0.53125,0.785361364057
59,7,-1,-5,3,-5,0.520089285714,1.00309251505
60,5,-1,-5,4,-5,0.527901785714,0.953805666452
61,5,-1,-5,5,-5,0.524553571429,1.10353672519
62,13,-1,-5,5,-5,0.524553571429,0.885418714605
63,19,-1,-5,5,-5,0.520089285714,0.645582002218
64,5,-1,-5,2,-4,0.527901785714,0.568673719455
65,7,-1,-5,2,-4,0.526785714286,0.743500621065
66,5,-1,-5,3,-4,0.529017857143,0.758658619594
67,7,-1,-5,3,-4,0.520089285714,0.972076516844
68,5,-1,-5,4,-4,0.527901785714,0.929798762648
69,15,-1,-5,4,-4,0.520089285714,0.895299589831
70,5,-1,-5,5,-4,0.522321428571,1.04832784261
71,7,-1,-5,5,-4,0.521205357143,1.2938530727
72,13,-1,-5,5,-4,0.520089285714,0.691770491932
73,5,-1,-5,2,-3,0.525669642857,0.539086458282
74,7,-1,-5,2,-3,0.521205357143,0.70669029151
75,5,-1,-5,3,-3,0.529017857143,0.734932774786
76,7,-1,-5,3,-3,0.520089285714,0.947120477713
77,5,-1,-5,4,-3,0.526785714286,0.874879774989
78,7,-1,-5,4,-3,0.521205357143,1.135086068
79,5,-1,-5,5,-3,0.522321428571,0.983004891122
80,7,-1,-5,5,-3,0.521205357143,1.24852908322
81,13,-1,-5,5,-3,0.520089285714,0.509997346866
82,5,-1,-5,2,-2,0.525669642857,0.515635627983
