,n_windows,score_BigBonus,score_BigLoss,score_MinorBonus,score_MinorLoss,胜率,收益率
0,22,0,-8,5,-8,0.5234375,3.99751699193
1,20,0,-8,6,-8,0.520089285714,5.4527649754
2,22,0,-8,6,-8,0.530133928571,6.47638243214
3,24,0,-8,6,-8,0.5234375,4.1738802422
4,26,0,-8,6,-8,0.522321428571,2.39158498239
5,16,0,-8,7,-8,0.521205357143,5.949086927
6,22,0,-8,7,-8,0.527901785714,5.64486142352
7,24,0,-8,7,-8,0.53125,2.27067155388
8,22,0,-8,8,-8,0.520089285714,3.00023142249
9,20,0,-8,5,-7,0.522321428571,3.56439887642
10,22,0,-8,5,-7,0.520089285714,4.30636545866
11,20,0,-8,6,-7,0.522321428571,5.30907685635
12,22,0,-8,6,-7,0.530133928571,6.74724796789
13,24,0,-8,6,-7,0.530133928571,4.51576594882
14,26,0,-8,6,-7,0.525669642857,2.83683702198
15,28,0,-8,6,-7,0.525669642857,-0.0498219558339
16,16,0,-8,7,-7,0.521205357143,5.76809702994
17,20,0,-8,7,-7,0.5234375,7.49600977864
18,22,0,-8,7,-7,0.529017857143,5.55620422969
19,24,0,-8,7,-7,0.530133928571,2.50245773647
20,26,0,-8,7,-7,0.532366071429,-0.0893391531618
21,16,0,-8,8,-7,0.5234375,2.43888931404
22,18,0,-8,8,-7,0.521205357143,6.213207839
23,20,0,-8,8,-7,0.520089285714,5.82736574696
24,20,0,-8,5,-6,0.520089285714,3.5112838336
25,22,0,-8,5,-6,0.526785714286,4.60702590055
26,24,0,-8,5,-6,0.522321428571,2.98813513499
27,26,0,-8,5,-6,0.520089285714,4.12812834601
28,28,0,-8,5,-6,0.521205357143,2.2439295787
29,20,0,-8,6,-6,0.521205357143,5.08871082415
30,22,0,-8,6,-6,0.530133928571,6.74530072659
31,24,0,-8,6,-6,0.530133928571,4.80323963195
32,26,0,-8,6,-6,0.532366071429,3.27725878553
33,28,0,-8,6,-6,0.53125,0.426627287673
34,16,0,-8,7,-6,0.522321428571,5.46203812735
35,20,0,-8,7,-6,0.520089285714,7.11678851159
36,24,0,-8,7,-6,0.526785714286,2.59223157759
37,26,0,-8,7,-6,0.53125,0.191588612354
38,16,0,-8,8,-6,0.5234375,1.99079495993
39,18,0,-8,8,-6,0.5234375,5.69441496451
40,20,0,-8,8,-6,0.522321428571,5.32809310879
41,22,0,-8,8,-6,0.521205357143,2.22074740796
42,22,0,-8,4,-5,0.522321428571,3.36855340384
43,20,0,-8,5,-5,0.520089285714,3.33452925788
44,22,0,-8,5,-5,0.526785714286,4.69978031832
45,24,0,-8,5,-5,0.526785714286,3.32818834978
46,26,0,-8,5,-5,0.527901785714,4.62582020434
47,28,0,-8,5,-5,0.525669642857,2.77953328877
48,16,0,-8,6,-5,0.520089285714,3.81237013416
49,20,0,-8,6,-5,0.520089285714,4.74855442687
50,24,0,-8,6,-5,0.527901785714,4.91168968793
51,26,0,-8,6,-5,0.532366071429,3.56348788191
52,28,0,-8,6,-5,0.537946428571,0.888896213459
53,16,0,-8,7,-5,0.522321428571,5.05513037256
54,18,0,-8,7,-5,0.521205357143,3.77986009807
55,20,0,-8,7,-5,0.524553571429,6.63758578223
56,22,0,-8,7,-5,0.5234375,4.83365373302
57,24,0,-8,7,-5,0.526785714286,2.28675099728
58,26,0,-8,7,-5,0.529017857143,0.0713439941075
59,16,0,-8,8,-5,0.522321428571,1.36726254786
60,18,0,-8,8,-5,0.520089285714,5.0185534782
61,22,0,-8,8,-5,0.5234375,1.63592564504
62,16,0,-8,5,-4,0.521205357143,4.81977497003
63,24,0,-8,5,-4,0.525669642857,3.45722778389
64,26,0,-8,5,-4,0.529017857143,4.9259155478
65,28,0,-8,5,-4,0.533482142857,3.29596265266
66,22,0,-8,6,-4,0.521205357143,6.0789991502
67,26,0,-8,6,-4,0.522321428571,3.43405895803
68,28,0,-8,6,-4,0.535714285714,1.13732947671
69,16,0,-8,7,-4,0.521205357143,4.45495480042
70,20,0,-8,7,-4,0.521205357143,6.02586659209
71,22,0,-8,7,-4,0.526785714286,4.2406847909
72,24,0,-8,7,-4,0.522321428571,1.70332298106
73,22,0,-8,8,-4,0.5234375,0.829388060529
74,16,0,-8,4,-3,0.520089285714,4.82815888394
75,26,0,-8,4,-3,0.521205357143,3.41824932632
76,28,0,-8,4,-3,0.524553571429,1.86798712507
77,16,0,-8,5,-3,0.520089285714,4.41120372371
78,24,0,-8,5,-3,0.521205357143,3.10938970846
79,26,0,-8,5,-3,0.525669642857,4.7021005298
80,28,0,-8,5,-3,0.533482142857,3.2269663325
81,22,0,-8,6,-3,0.526785714286,5.47862201567
82,24,0,-8,6,-3,0.525669642857,3.97100373844
83,26,0,-8,6,-3,0.525669642857,2.78705031483
84,28,0,-8,6,-3,0.525669642857,0.228990726657
85,22,0,-8,7,-3,0.527901785714,3.4166155821
86,24,0,-8,7,-3,0.527901785714,0.751703503771
87,20,0,-8,8,-3,0.524553571429,2.81864221358
88,22,0,-8,8,-3,0.526785714286,-0.252267962329
89,22,0,-8,5,-2,0.526785714286,3.42673949137
90,24,0,-8,5,-2,0.522321428571,2.39616177549
91,26,0,-8,5,-2,0.525669642857,3.90692783553
92,28,0,-8,5,-2,0.532366071429,2.36089802629
93,20,0,-8,6,-2,0.5234375,2.82917379656
94,22,0,-8,6,-2,0.520089285714,4.61055507402
95,24,0,-8,6,-2,0.524553571429,2.93368167631
96,26,0,-8,6,-2,0.526785714286,1.60164430521
97,16,0,-8,7,-2,0.521205357143,2.79278519175
98,20,0,-8,7,-2,0.524553571429,4.08126155578
99,22,0,-8,7,-2,0.53125,2.1888332477
100,18,0,-8,8,-2,0.522321428571,1.89321049733
101,20,0,-8,8,-2,0.529017857143,1.34295987803
102,22,0,-8,4,-1,0.525669642857,2.08518490455
103,24,0,-8,4,-1,0.520089285714,0.556237319616
104,28,0,-8,4,-1,0.524553571429,0.412627112316
105,18,0,-8,5,-1,0.520089285714,1.98679459727
106,20,0,-8,5,-1,0.525669642857,1.00188175481
107,22,0,-8,5,-1,0.524553571429,2.27217439628
108,24,0,-8,5,-1,0.527901785714,1.05441926097
109,26,0,-8,5,-1,0.533482142857,2.42792884898
110,28,0,-8,5,-1,0.533482142857,0.737103333414
111,20,0,-8,6,-1,0.526785714286,1.6002528686
112,22,0,-8,6,-1,0.530133928571,3.04897468135
113,24,0,-8,6,-1,0.530133928571,1.11152380013
114,20,0,-8,7,-1,0.53125,2.52947448681
115,22,0,-8,7,-1,0.529017857143,0.257786661084
116,20,1,-8,5,-8,0.521205357143,4.16527689763
117,22,1,-8,5,-8,0.524553571429,4.70773807897
118,16,1,-8,6,-8,0.520089285714,4.89680410766
119,18,1,-8,6,-8,0.522321428571,7.06004381584
120,20,1,-8,6,-8,0.5234375,6.06232186553
121,22,1,-8,6,-8,0.53125,7.13764837341
122,24,1,-8,6,-8,0.526785714286,4.86754141176
123,26,1,-8,6,-8,0.5234375,3.07407314057
124,16,1,-8,7,-8,0.527901785714,6.48674775418
125,20,1,-8,7,-8,0.521205357143,8.33323211623
126,22,1,-8,7,-8,0.530133928571,6.25298197493
127,24,1,-8,7,-8,0.532366071429,2.87892434497
128,26,1,-8,7,-8,0.525669642857,-0.0177847649436
129,16,1,-8,8,-8,0.525669642857,3.31024630645
130,18,1,-8,8,-8,0.522321428571,7.15617873976
131,22,1,-8,8,-8,0.522321428571,3.52154098549
132,26,1,-8,8,-8,0.526785714286,0.510900700249
133,28,1,-8,8,-8,0.5234375,1.77581039717
134,20,1,-8,4,-7,0.520089285714,5.26017614455
135,22,1,-8,4,-7,0.520089285714,3.51991956985
136,18,1,-8,5,-7,0.521205357143,5.10657126707
137,20,1,-8,5,-7,0.526785714286,4.20706870184
138,22,1,-8,5,-7,0.521205357143,5.0165865457
139,24,1,-8,5,-7,0.520089285714,3.35664863833
140,18,1,-8,6,-7,0.522321428571,6.9320672714
141,20,1,-8,6,-7,0.525669642857,5.91863374649
142,22,1,-8,6,-7,0.53125,7.40851390916
143,24,1,-8,6,-7,0.533482142857,5.20941816062
144,26,1,-8,6,-7,0.526785714286,3.51929814481
145,28,1,-8,6,-7,0.522321428571,0.571332415879
146,16,1,-8,7,-7,0.527901785714,6.30575785712
147,18,1,-8,7,-7,0.522321428571,5.19258913326
148,20,1,-8,7,-7,0.526785714286,8.06154729487
149,22,1,-8,7,-7,0.53125,6.1643247811
150,24,1,-8,7,-7,0.53125,3.11070064605
151,26,1,-8,7,-7,0.53125,0.372612826143
152,16,1,-8,8,-7,0.530133928571,2.95782563538
153,18,1,-8,8,-7,0.527901785714,6.74772064783
154,20,1,-8,8,-7,0.5234375,6.35600789754
155,26,1,-8,8,-7,0.530133928571,0.774231332159
156,28,1,-8,8,-7,0.534598214286,2.10879330092
