,n_windows,score_BigBonus,score_BigLoss,score_MinorBonus,score_MinorLoss,win_rate,yield_rate
0,8,0,-10,2,-10,0.5078125,0.306832905
1,12,0,-10,2,-10,0.506696429,0.460411876
2,16,0,-10,2,-10,0.506696429,0.550978082
3,20,0,-10,2,-10,0.504464286,0.60399694
4,8,0,-10,4,-10,0.506696429,0.555245555
5,12,0,-10,4,-10,0.512276786,0.765971009
6,16,0,-10,4,-10,0.513392857,0.976143382
7,20,0,-10,4,-10,0.516741071,1.218963317
8,24,0,-10,4,-10,0.514508929,0.619636369
9,28,0,-10,4,-10,0.511160714,0.07433176
10,4,0,-10,6,-10,0.513392857,0.373405936
11,8,0,-10,6,-10,0.515625,0.699458256
12,12,0,-10,6,-10,0.516741071,0.975227795
13,16,0,-10,6,-10,0.522321429,1.153219329
14,20,0,-10,6,-10,0.514508929,1.522400046
15,24,0,-10,6,-10,0.512276786,0.75958281
16,28,0,-10,6,-10,0.508928571,0.046648653
17,4,0,-10,8,-10,0.520089286,0.446921025
18,8,0,-10,8,-10,0.513392857,0.739923948
19,12,0,-10,8,-10,0.513392857,1.02147524
20,16,0,-10,8,-10,0.520089286,1.01624967
21,20,0,-10,8,-10,0.516741071,1.447863929
22,24,0,-10,8,-10,0.518973214,0.431008358
23,8,0,-10,2,-8,0.5078125,0.303472173
24,12,0,-10,2,-8,0.5078125,0.450154815
25,16,0,-10,2,-8,0.506696429,0.555148891
26,20,0,-10,2,-8,0.504464286,0.622183831
27,24,0,-10,2,-8,0.502232143,0.250742094
28,8,0,-10,4,-8,0.508928571,0.553967651
29,12,0,-10,4,-8,0.5078125,0.736553846
30,16,0,-10,4,-8,0.513392857,0.989865021
31,20,0,-10,4,-8,0.518973214,1.246913993
32,24,0,-10,4,-8,0.514508929,0.67412743
33,28,0,-10,4,-8,0.512276786,0.191195186
34,4,0,-10,6,-8,0.515625,0.367306614
35,8,0,-10,6,-8,0.516741071,0.659539156
36,12,0,-10,6,-8,0.515625,0.941618091
37,16,0,-10,6,-8,0.515625,1.112635983
38,20,0,-10,6,-8,0.513392857,1.534305128
39,24,0,-10,6,-8,0.514508929,0.84783444
40,28,0,-10,6,-8,0.515625,0.190896231
41,4,0,-10,8,-8,0.520089286,0.440698849
42,8,0,-10,8,-8,0.513392857,0.702565372
43,12,0,-10,8,-8,0.520089286,0.920933158
44,16,0,-10,8,-8,0.513392857,0.90539741
45,20,0,-10,8,-8,0.516741071,1.363166836
46,24,0,-10,8,-8,0.514508929,0.463080426
47,8,0,-10,2,-6,0.5078125,0.302702783
48,12,0,-10,2,-6,0.5078125,0.430730738
49,16,0,-10,2,-6,0.505580357,0.567270735
50,20,0,-10,2,-6,0.505580357,0.664341634
51,24,0,-10,2,-6,0.505580357,0.297469666
52,8,0,-10,4,-6,0.510044643,0.510558071
53,12,0,-10,4,-6,0.510044643,0.707189432
54,16,0,-10,4,-6,0.521205357,0.950564464
55,20,0,-10,4,-6,0.512276786,1.275957531
56,24,0,-10,4,-6,0.513392857,0.752477367
57,28,0,-10,4,-6,0.512276786,0.35411134
58,4,0,-10,6,-6,0.518973214,0.361151018
59,8,0,-10,6,-6,0.510044643,0.623427158
60,12,0,-10,6,-6,0.520089286,0.85265384
61,16,0,-10,6,-6,0.512276786,1.033904337
62,20,0,-10,6,-6,0.517857143,1.4838567
63,24,0,-10,6,-6,0.511160714,0.905690248
64,28,0,-10,6,-6,0.511160714,0.359073802
65,4,0,-10,8,-6,0.515625,0.434291443
66,8,0,-10,8,-6,0.515625,0.686550458
67,12,0,-10,8,-6,0.521205357,0.814630333
68,16,0,-10,8,-6,0.512276786,0.765403503
69,20,0,-10,8,-6,0.512276786,1.191575719
70,24,0,-10,8,-6,0.512276786,0.444532182
71,8,0,-10,2,-4,0.5078125,0.301795575
72,12,0,-10,2,-4,0.5078125,0.397177814
73,16,0,-10,2,-4,0.504464286,0.584084655
74,20,0,-10,2,-4,0.511160714,0.707374385
75,24,0,-10,2,-4,0.508928571,0.355751712
76,28,0,-10,2,-4,0.501116071,0.197833632
77,8,0,-10,4,-4,0.512276786,0.475673828
78,12,0,-10,4,-4,0.512276786,0.641829609
79,16,0,-10,4,-4,0.518973214,0.903019017
80,20,0,-10,4,-4,0.515625,1.26717098
81,24,0,-10,4,-4,0.515625,0.847943814
82,28,0,-10,4,-4,0.508928571,0.529774278
83,32,0,-10,4,-4,0.514508929,0.072717706
84,4,0,-10,6,-4,0.518973214,0.354810672
85,8,0,-10,6,-4,0.512276786,0.608675782
86,12,0,-10,6,-4,0.521205357,0.752572878
87,16,0,-10,6,-4,0.513392857,0.898188652
88,20,0,-10,6,-4,0.513392857,1.324782599
89,24,0,-10,6,-4,0.512276786,0.877574788
90,28,0,-10,6,-4,0.513392857,0.492237244
91,4,0,-10,8,-4,0.515625,0.427357355
92,8,0,-10,8,-4,0.521205357,0.640881081
93,12,0,-10,8,-4,0.514508929,0.6431924
94,16,0,-10,8,-4,0.510044643,0.524926437
95,20,0,-10,8,-4,0.505580357,0.888998555
96,24,0,-10,8,-4,0.510044643,0.125431084
97,8,0,-10,2,-2,0.5078125,0.263432716
98,12,0,-10,2,-2,0.504464286,0.353842491
99,16,0,-10,2,-2,0.511160714,0.549377631
100,20,0,-10,2,-2,0.514508929,0.730253246
101,24,0,-10,2,-2,0.5078125,0.445077042
102,28,0,-10,2,-2,0.503348214,0.348701185
103,32,0,-10,2,-2,0.501116071,0.234795989
104,36,0,-10,2,-2,0.502232143,0.146221329
105,8,0,-10,4,-2,0.5078125,0.448202192
106,12,0,-10,4,-2,0.517857143,0.535250691
107,16,0,-10,4,-2,0.513392857,0.768402069
108,20,0,-10,4,-2,0.510044643,1.086118215
109,24,0,-10,4,-2,0.514508929,0.779375051
110,28,0,-10,4,-2,0.515625,0.569911491
111,32,0,-10,4,-2,0.521205357,0.074235821
112,4,0,-10,6,-2,0.514508929,0.343181742
113,8,0,-10,6,-2,0.517857143,0.553671764
114,12,0,-10,6,-2,0.513392857,0.59627199
115,16,0,-10,6,-2,0.510044643,0.624262758
116,20,0,-10,6,-2,0.510044643,1.023635741
117,24,0,-10,6,-2,0.513392857,0.487073211
118,28,0,-10,6,-2,0.518973214,0.157154137
119,4,0,-10,8,-2,0.515625,0.415457868
120,8,0,-10,8,-2,0.521205357,0.584919772
121,12,0,-10,8,-2,0.512276786,0.47705155
122,16,0,-10,8,-2,0.505580357,0.171307007
123,20,0,-10,8,-2,0.510044643,0.48344103
124,8,0,-10,2,0,0.504464286,0.229158597
125,12,0,-10,2,0,0.503348214,0.259369314
126,16,0,-10,2,0,0.508928571,0.386788106
127,20,0,-10,2,0,0.501116071,0.539984839
128,24,0,-10,2,0,0.502232143,0.231248644
129,28,0,-10,2,0,0.5078125,0.132911328
130,32,0,-10,2,0,0.504464286,0.018568561
