,price_raw,state
2015/1/5,3641.541,bb
2015/1/6,3641.059,bb
2015/1/7,3643.79,bb
2015/1/8,3559.259,bb
2015/1/9,3546.723,bb
2015/1/12,3513.576,bb
2015/1/13,3514.04,bb
2015/1/14,3502.423,bb
2015/1/15,3604.121,bb
2015/1/16,3635.146,bb
2015/1/19,3355.155,bl
2015/1/20,3396.222,bl
2015/1/21,3548.885,bl
2015/1/22,3567.613,bl
2015/1/23,3571.732,bl
2015/1/26,3607.985,bl
2015/1/27,3574.931,bl
2015/1/28,3525.323,bl
2015/1/29,3481.798,bl
2015/1/30,3434.39,bl
2015/2/2,3353.96,bl
2015/2/3,3437.445,bl
2015/2/4,3401.768,bl
2015/2/5,3366.946,bl
2015/2/6,3312.42,bl
2015/2/9,3345.921,bl
2015/2/10,3406.943,bl
2015/2/11,3434.124,bl
2015/2/12,3442.874,bl
2015/2/13,3469.828,bl
2015/2/16,3499.483,bl
2015/2/17,3522.322,bl
2015/2/25,3478.729,mb
2015/2/26,3566.295,mb
2015/2/27,3572.843,mb
2015/3/2,3601.265,mb
2015/3/3,3507.9,ml
2015/3/4,3530.822,ml
2015/3/5,3496.344,mb
2015/3/6,3478.52,mb
2015/3/9,3537.75,mb
2015/3/10,3520.611,mb
2015/3/11,3524.653,mb
2015/3/12,3592.844,mb
2015/3/13,3617.657,mb
2015/3/16,3705.671,mb
2015/3/17,3757.122,mb
2015/3/18,3846.055,mb
2015/3/19,3839.739,mb
2015/3/20,3892.574,mb
2015/3/23,3972.061,mb
2015/3/24,3973.046,mb
2015/3/25,3940.412,mb
2015/3/26,3949.999,mb
2015/3/27,3971.697,mb
2015/3/30,4088.178,mb
2015/3/31,4051.204,bb
2015/4/1,4123.895,bb
2015/4/2,4124.776,bb
2015/4/3,4170.538,bb
2015/4/7,4260.044,bb
2015/4/8,4295.803,bb
2015/4/9,4262.138,bb
2015/4/10,4344.416,bb
2015/4/13,4421.073,bb
2015/4/14,4438.184,bb
2015/4/15,4380.513,bb
2015/4/16,4513.546,bb
2015/4/17,4596.136,bb
2015/4/20,4521.919,bb
2015/4/21,4619.164,bb
2015/4/22,4739.814,bb
2015/4/23,4740.892,bb
2015/4/24,4702.641,bb
2015/4/27,4807.592,bb
2015/4/28,4741.861,bb
2015/4/29,4774.326,bb
2015/4/30,4749.886,bb
