,price_raw,price_next,price_diff,state,alpha,score,market_yield,adjust_yield
2015-01-05,3641.54,3641.06,-0.48,bb,1.0,0.0,-0.000131821053112,0.0
2015-01-06,3641.06,3643.79,2.73,bb,1.0,0.0,0.000749500711147,0.0
2015-01-07,3643.79,3559.26,-84.53,bb,1.0,0.0,-0.0234716906695,0.0
2015-01-08,3559.26,3546.72,-12.54,bb,1.0,0.0,-0.00352942536213,0.0
2015-01-09,3546.72,3513.58,-33.14,bb,1.0,0.0,-0.00938777201707,0.0
2015-01-12,3513.58,3514.04,0.46,bb,1.0,0.0,0.000130912030149,0.0
2015-01-13,3514.04,3502.42,-11.62,bb,1.0,0.0,-0.0033122145992,0.0
2015-01-14,3502.42,3604.12,101.7,bb,1.0,0.0,0.028623477389,0.0
2015-01-15,3604.12,3635.15,31.03,bb,1.0,0.0,0.00857274007946,0.0
2015-01-16,3635.15,3355.16,-279.99,bb,1.0,0.0,-0.0801509163072,0.0
2015-01-19,3355.16,3396.22,41.06,bl,1.0,0.0,0.012163589146,0.0
2015-01-20,3396.22,3548.89,152.67,bl,1.0,0.0,0.0439718300902,0.0
2015-01-21,3548.89,3567.61,18.72,bl,1.0,0.0,0.00526102527317,0.0
2015-01-22,3567.61,3571.73,4.12,bl,1.0,0.0,0.0011541684406,0.0
2015-01-23,3571.73,3607.99,36.26,bl,1.0,0.0,0.0101007583265,0.0
2015-01-26,3607.99,3574.93,-33.06,bl,1.0,0.0,-0.00920523504322,0.0
2015-01-27,3574.93,3525.32,-49.61,bl,1.0,0.0,-0.0139743832489,0.0
2015-01-28,3525.32,3481.8,-43.52,bl,1.0,0.0,-0.0124218108433,0.0
2015-01-29,3481.8,3434.39,-47.41,bl,1.0,0.0,-0.0137100752353,0.0
2015-01-30,3434.39,3353.96,-80.43,bl,1.0,0.0,-0.0236975889358,0.0
2015-02-02,3353.96,3437.45,83.49,bl,1.0,0.0,0.0245881801609,0.0
2015-02-03,3437.45,3401.77,-35.68,bl,1.0,0.0,-0.010434033034,0.0
2015-02-04,3401.77,3366.95,-34.82,bl,1.0,0.0,-0.0102885943445,0.0
2015-02-05,3366.95,3312.42,-54.53,bl,1.0,0.0,-0.0163282499765,0.0
2015-02-06,3312.42,3345.92,33.5,bl,1.0,0.0,0.0100626530563,0.0
2015-02-09,3345.92,3406.94,61.02,bl,1.0,0.0,0.0180728345889,0.0
2015-02-10,3406.94,3434.12,27.18,bl,1.0,0.0,0.0079461788132,0.0
2015-02-11,3434.12,3442.87,8.75,bl,1.0,0.0,0.00254471933849,0.0
2015-02-12,3442.87,3469.83,26.96,bl,1.0,0.0,0.00780017553003,0.0
2015-02-13,3469.83,3499.48,29.65,bl,1.0,0.0,0.00850878462478,0.0
2015-02-16,3499.48,3522.32,22.84,bl,1.0,0.0,0.0065054773851,0.0
2015-02-17,3522.32,3478.73,-43.59,bl,1.0,0.0,-0.0124525787642,0.0
2015-02-25,3478.73,3566.3,87.57,mb,1.0,0.0,0.0248613591268,0.0
2015-02-26,3566.3,3572.84,6.54,mb,1.0,0.0,0.00183215396517,0.0
2015-02-27,3572.84,3601.26,28.42,mb,1.0,0.0,0.00792298648442,0.0
2015-03-02,3601.26,3507.9,-93.36,mb,1.0,0.0,-0.0262662163941,0.0
2015-03-03,3507.9,3530.82,22.92,ml,1.0,0.0,0.00651257075431,0.0
2015-03-04,3530.82,3496.34,-34.48,ml,1.0,0.0,-0.00981343151755,0.0
2015-03-05,3496.34,3478.52,-17.82,mb,1.0,0.0,-0.00510979109926,0.0
2015-03-06,3478.52,3537.75,59.23,mb,1.0,0.0,0.0168840158806,0.0
2015-03-09,3537.75,3520.61,-17.14,mb,1.0,0.0,-0.00485666179972,0.0
2015-03-10,3520.61,3524.65,4.04,mb,1.0,0.0,0.00114687050381,0.0
2015-03-11,3524.65,3592.84,68.19,mb,1.0,0.0,0.0191618355528,0.0
2015-03-12,3592.84,3617.66,24.82,mb,1.0,0.0,0.00688443187835,0.0
